name_measure,split_0.1,split_0.2,split_0.3,split_0.4,split_0.5,split_0.6,split_0.7,split_0.8,split_0.9
accuracy_score,0.7250922509225093,0.7328413284132841,0.7307503075030749,0.7257380073800738,0.7147710487444608,0.7172923076923078,0.7002109704641349,0.6795108444854638,0.6367924528301887
precision_macro,0.7211800719864151,0.7223449307212825,0.7192829342084884,0.718947646801052,0.7090107490527454,0.7097670696271534,0.6920490351109498,0.6746234505551744,0.6431990076833816
precision_micro,0.7250922509225093,0.7328413284132841,0.7307503075030749,0.7257380073800738,0.7147710487444608,0.7172923076923078,0.7002109704641349,0.6795108444854638,0.6367924528301887
precision_weighted,0.7284226117362276,0.7340088970655195,0.7307708556620707,0.7267027817969434,0.714964752183973,0.7178150450424157,0.7011193039718318,0.6795305074869572,0.6429199571016173
recall_macro,0.6934074617480072,0.6913119879797167,0.6893747447105498,0.6830508345820265,0.6701861316441132,0.6712117931599939,0.6543873538246772,0.6267712539716321,0.5775480692222418
recall_micro,0.7250922509225093,0.7328413284132841,0.7307503075030749,0.7257380073800738,0.7147710487444608,0.7172923076923078,0.7002109704641349,0.6795108444854638,0.6367924528301887
recall_weighted,0.7250922509225093,0.7328413284132841,0.7307503075030749,0.7257380073800738,0.7147710487444608,0.7172923076923078,0.7002109704641349,0.6795108444854638,0.6367924528301887
f1_macro,0.7016836761329525,0.7024641411421861,0.7001981729356718,0.6966873898171627,0.6835699321789679,0.6851881433596113,0.6671351659927858,0.6422512985631897,0.5952412568317943
f1_micro,0.7250922509225093,0.7328413284132841,0.7307503075030749,0.7257380073800738,0.7147710487444608,0.7172923076923078,0.7002109704641349,0.6795108444854638,0.6367924528301887
f1_weighted,0.7224954458763824,0.7302514082704636,0.7277797270763154,0.7228801978967332,0.7108171260054241,0.7137222579584389,0.6967768713589206,0.6737135244621741,0.6287549759382259
