name_measure,split_0.1,split_0.2,split_0.3,split_0.4,split_0.5,split_0.6,split_0.7,split_0.8,split_0.9
accuracy_score,0.7011070110701106,0.6881918819188193,0.7011070110701106,0.6918819188191881,0.6787296898079764,0.6886153846153845,0.6693037974683546,0.6442085832948778,0.6017227235438884
precision_macro,0.7200263096440923,0.704044039268129,0.7038808211129027,0.6852441700388942,0.6814972182192598,0.6807430303152753,0.6599746145533036,0.6516305731693991,0.6084132660147661
precision_micro,0.7011070110701106,0.6881918819188193,0.7011070110701106,0.6918819188191881,0.6787296898079764,0.6886153846153845,0.6693037974683546,0.6442085832948778,0.6017227235438884
precision_weighted,0.7110130977107597,0.6959478528015535,0.7067326679258381,0.68915265870585,0.6791082359050967,0.6862893317200189,0.667910171090045,0.6474556145816581,0.6063968897432999
recall_macro,0.6591457858304218,0.6532277935827225,0.6672836889805992,0.6472896307490104,0.6369658504267628,0.6442611385543601,0.6180461727748955,0.5934961038759603,0.5125093511635893
recall_micro,0.7011070110701106,0.6881918819188193,0.7011070110701106,0.6918819188191881,0.6787296898079764,0.6886153846153845,0.6693037974683546,0.6442085832948778,0.6017227235438884
recall_weighted,0.7011070110701106,0.6881918819188193,0.7011070110701106,0.6918819188191881,0.6787296898079764,0.6886153846153845,0.6693037974683546,0.6442085832948778,0.6017227235438884
f1_macro,0.6777007274859048,0.666746407904542,0.6802697754270516,0.6614019707200811,0.6547029416039923,0.6571831977550974,0.6333559543767803,0.6141387096551795,0.5325188447420252
f1_micro,0.7011070110701106,0.6881918819188193,0.7011070110701106,0.6918819188191881,0.6787296898079764,0.6886153846153845,0.6693037974683546,0.6442085832948778,0.6017227235438884
f1_weighted,0.6948908553367117,0.6845996074005438,0.700299565432638,0.6866625292496104,0.6749930387081287,0.6839587097324012,0.6642014482450158,0.6391107084712984,0.582457716549979
